N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
58,한국타이어앤테크놀로지,"49,800","
0
","
0.00%
",500,"61,690","123,875",41.72,0,13.72,5.12,
59,현대건설,"54,800","

				300
				
","

				+0.55%
				
","5,000","61,023","111,356",20.76,"15,576",49.55,1.84,
60,SKC,"161,000","
0
","
0.00%
","5,000","60,968","37,868",13.14,0,"-2,555.56",2.21,
61,에스디바이오센서,"57,900","
0
","
0.00%
",500,"59,794","103,271",1.98,"5,676",8.78,139.97,
62,미래에셋증권,"9,250","

				10
				
","

				-0.11%
				
","5,000","58,767","635,316",13.88,"42,568",7.37,8.94,
63,강원랜드,"27,200","
0
","
0.00%
",500,"58,192","213,940",18.82,"1,039",-36.22,-7.92,
64,현대중공업지주,"69,000","
0
","
0.00%
","1,000","54,505","78,993",17.24,0,-24.10,-8.12,
65,한국금융지주,"96,800","
0
","
0.00%
","5,000","53,943","55,726",33.95,151,4.32,16.27,
66,LG이노텍,"222,500","

				500
				
","

				+0.23%
				
","5,000","52,659","23,667",30.83,"2,069",12.94,10.20,
67,한미사이언스,"76,200","

				2,700
				
","

				-3.42%
				
",500,"51,286","67,305",1.52,"23,938",185.40,3.47,
68,아모레G,"59,600","

				200
				
","

				-0.33%
				
",500,"49,145","82,458",17.42,"1,403",116.86,0.31,
69,F&F,"628,000","
0
","
0.00%
",500,"48,114","7,661",10.16,0,N/A,N/A,
70,이마트,"169,000","

				1,000
				
","

				-0.59%
				
","5,000","47,110","27,876",33.89,"2,079",11.66,4.05,
71,오리온,"119,000","
0
","
0.00%
",500,"47,048","39,536",38.78,"2,070",17.68,15.50,
72,삼성엔지니어링,"23,450","
0
","
0.00%
","5,000","45,962","196,000",31.75,"5,270",15.81,17.32,
73,맥쿼리인프라,"12,300","
0
","
0.00%
",0,"45,780","372,192",15.39,14,N/A,N/A,
74,KODEX 200,"43,380","
0
","
0.00%
",0,"45,679","105,300",3.26,3,N/A,N/A,
75,한진칼,"67,000","
0
","
0.00%
","2,500","44,715","66,739",14.86,0,-54.56,-19.55,
76,두산밥캣,"44,000","
0
","
0.00%
",500,"44,110","100,249",26.01,142,13.39,6.15,
77,유한양행,"62,000","
0
","
0.00%
","1,000","43,383","69,973",17.89,84,45.22,11.06,
78,쌍용C&E,"8,190","
0
","
0.00%
",100,"41,266","503,860",3.65,244,29.89,7.92,
79,삼성중공업,"6,540","
0
","
0.00%
","5,000","41,202","630,000",13.79,0,-2.30,-33.06,
80,DB손해보험,"58,000","
0
","
0.00%
",500,"41,064","70,800",43.06,51,6.62,9.08,
81,팬오션,"7,540","
0
","
0.00%
","1,000","40,307","534,570",10.36,0,32.09,3.25,
82,롯데지주,"38,400","
0
","
0.00%
",200,"40,285","104,909",8.44,211,-94.35,-3.03,
83,삼성카드,"34,700","

				50
				
","

				-0.14%
				
","5,000","40,203","115,859",8.27,"1,973",9.46,5.69,
84,GS,"43,150","
0
","
0.00%
","5,000","40,093","92,915",19.19,153,6.33,-2.82,
85,CJ대한통운,"175,500","
0
","
0.00%
","5,000","40,036","22,812",22.94,5,33.35,3.89,
86,삼성증권,"44,650","
0
","
0.00%
","5,000","39,872","89,300",28.28,0,5.10,9.89,
87,녹십자,"332,000","
0
","
0.00%
","5,000","38,799","11,687",21.12,123,38.75,7.48,
